move_order,gamma,width,height,goal_rows,rel_tol,states,pure_states,degenerate_states,mixed_states,mixed_fraction,iterations,lp_calls,runtime_s,kickoff_value,max_value_bracket_gap,duality_gap
random,0.9,7,5,1|2|3,1e-12,2380,604,1682,94,0.03949579831932773,108,9672,13.377,0.163992,2.220446049250313e-16,nan
random,0.9,7,5,1|2|3,1e-10,2380,604,1682,94,0.03949579831932773,108,9672,13.375,0.163992,2.220446049250313e-16,nan
random,0.9,7,5,1|2|3,1e-08,2380,604,1682,94,0.03949579831932773,108,9672,13.299,0.163992,2.220446049250313e-16,nan
random,0.9,7,5,1|2|3,1e-06,2380,604,1682,94,0.03949579831932773,108,9672,13.338,0.163992,2.220446049250313e-16,nan
random,0.9,7,5,1|2|3,0.0001,2380,604,1682,94,0.03949579831932773,108,9672,13.292,0.163992,2.220446049250313e-16,nan
random,0.9,7,5,1|2|3,0.001,2380,604,1682,94,0.03949579831932773,108,9672,13.372,0.163992,2.220446049250313e-16,nan
random,0.9,7,5,1|2|3,0.01,2380,452,1848,80,0.03361344537815126,108,9672,13.35,0.163992,2.220446049250313e-16,nan
random,0.9,7,5,1|2|3,0.03,2380,152,2182,46,0.019327731092436976,108,9672,13.366,0.163992,2.220446049250313e-16,nan
random,0.9,7,5,1|2|3,0.1,2380,12,2368,0,0.0,108,9672,13.305,0.163992,2.220446049250313e-16,nan
