scoring,policy,vs_random,vs_hand_built,vs_challenger,robustness_gap
rate,minimax,0.6647524667181374,0.28345785849949373,0.14928708127371906,0.5154653854444183
rate,greedy/rand,0.9215651109341998,0.6764081091685527,-0.5887119742266411,1.510277085160841
rate,greedy/self,0.05008790364066379,0.0,-8.566516484804351e-10,0.050087904497315434
rate,hand-built,0.7153093248581279,0.0,-0.6764081083060021,1.39171743316413
win,minimax,0.568487187002813,0.26382074545708073,0.17245829864317433,0.3960288883596387
win,greedy/rand,0.5912000383829098,0.42045118017247624,-0.2952450000000001,0.8864450383829099
win,greedy/self,0.0430185276117651,0.0,-8.566516484804351e-10,0.04301852846841674
win,hand-built,0.5114756266742542,0.0,-0.4204511801109715,0.9319268067852257
