move_order,gamma,width,height,goal_rows,rel_tol,states,pure_states,degenerate_states,mixed_states,mixed_fraction,iterations,lp_calls,runtime_s,kickoff_value,max_value_bracket_gap,duality_gap
random,0.9,5,9,4,1e-06,3960,88,3872,0,0.0,14,0,0.827,0.0,0.0,nan
random,0.9,5,9,3|4,1e-06,3960,860,2914,186,0.04696969696969697,75,12978,17.456,0.146852,4.579669976578771e-16,nan
random,0.9,5,9,3|4|5,1e-06,3960,774,3024,162,0.04090909090909091,83,12560,17.488,0.186572,1.3877787807814457e-16,nan
random,0.9,5,9,2|3|4|5,1e-06,3960,750,3072,138,0.03484848484848485,88,11758,16.919,0.191873,1.6653345369377348e-16,nan
random,0.9,5,9,2|3|4|5|6,1e-06,3960,728,3116,116,0.029292929292929294,97,11044,21.163,0.194372,1.6653345369377348e-16,nan
random,0.9,5,9,1|2|3|4|5|6,1e-06,3960,694,3156,110,0.027777777777777776,89,9652,14.73,0.196164,2.220446049250313e-16,nan
random,0.9,5,9,1|2|3|4|5|6|7,1e-06,3960,658,3196,106,0.026767676767676767,100,10460,15.722,0.19554,1.3877787807814457e-16,nan
