policy,always-left,random,hand-built,challenger,robustness_gap
minimax,0.6377239849144063,0.6293623160426393,0.19155263850616122,0.1297087474912312,0.4996535685514081
greedy/rand,0.9518022690016567,0.9249510463858064,0.7874403707191993,-0.5352603192138314,1.4602113655996378
greedy/self,0.0,0.06592326782689216,0.0,-8.566516484804351e-10,0.06592326868354381
hand-built,0.0,0.7125960452632434,0.0,-0.7874403698403739,1.5000364151036174
