policy,minimax,always-left,random,best-response
minimax,0.13226129990202287,0.6245553885022329,0.5349773767840751,0.13226129898561664
always-left,0.0,0.0,0.0,-0.0
random,-0.14231040032866418,-0.2160129542580842,0.005852108969808215,-0.44447827128516143
best-response,0.13226130084479684,0.7637155991821408,0.6841960025837298,0.13226129990202287
