x0,y0,x1,y1,b,occupancy,mixed
1,2,3,1,0,0.000158,0
4,3,6,4,1,0.000156,0
0,2,2,3,0,0.000155,0
2,2,2,3,1,0.000151,0
4,3,4,2,0,0.000145,0
6,2,3,4,0,0.000143,0
1,1,2,0,1,0.000143,1
4,4,5,4,1,0.000140,0
5,2,2,4,0,0.000139,0
3,2,2,1,0,0.000134,0
3,2,2,2,0,0.000134,0
4,3,1,4,0,0.000129,0
5,2,5,3,1,0.000126,0
1,0,2,0,1,0.000126,0
6,2,6,3,0,0.000122,0
4,2,2,2,0,0.000120,0
4,2,2,3,0,0.000120,0
5,3,1,4,0,0.000116,0
0,1,1,0,1,0.000111,1
4,2,3,1,0,0.000109,0
4,2,3,2,0,0.000109,0
5,2,2,3,0,0.000108,0
4,1,5,2,1,0.000105,0
6,3,1,4,0,0.000105,0
5,3,6,2,1,0.000102,0
4,3,5,2,1,0.000101,0
3,2,3,3,1,0.000101,0
5,2,3,2,0,0.000098,0
5,2,3,3,0,0.000098,0
1,3,2,3,0,0.000097,1
1,2,2,3,0,0.000095,0
0,1,0,0,1,0.000094,0
5,2,6,1,1,0.000092,0
5,4,2,3,1,0.000092,0
0,3,1,2,1,0.000092,0
1,1,4,2,0,0.000090,0
5,2,6,4,1,0.000089,0
0,4,2,3,0,0.000089,0
6,2,3,3,0,0.000088,0
5,4,1,3,1,0.000083,0
3,3,5,2,0,0.000081,0
5,3,5,4,1,0.000080,0
1,4,2,4,0,0.000080,0
1,2,1,3,1,0.000080,0
2,3,1,2,0,0.000080,0
2,3,1,3,0,0.000080,0
1,3,2,4,1,0.000077,1
3,2,3,3,0,0.000075,0
5,4,0,3,1,0.000074,0
2,4,2,3,0,0.000074,0
3,4,0,3,1,0.000074,0
3,3,1,3,0,0.000072,0
3,3,1,4,0,0.000072,0
1,4,2,4,1,0.000068,0
2,2,1,3,1,0.000068,0
2,3,1,3,1,0.000068,0
4,2,3,4,0,0.000067,0
3,4,3,3,0,0.000067,0
5,3,4,2,0,0.000065,0
5,3,4,3,0,0.000065,0
1,3,3,3,0,0.000063,1
4,4,4,3,0,0.000063,0
2,3,3,3,0,0.000062,1
2,3,4,3,0,0.000062,1
2,3,0,3,1,0.000061,0
2,4,0,3,1,0.000061,0
4,4,0,2,1,0.000061,0
5,2,3,4,0,0.000060,0
0,3,1,4,1,0.000060,1
6,3,4,3,0,0.000059,0
6,3,4,4,0,0.000059,0
5,4,5,3,0,0.000058,1
5,2,4,3,1,0.000057,0
5,3,4,3,1,0.000057,0
2,1,3,2,1,0.000055,0
0,2,1,3,0,0.000052,0
0,4,1,2,0,0.000051,0
4,0,5,1,0,0.000051,1
5,3,3,3,1,0.000051,0
5,4,3,3,1,0.000051,0
0,3,0,4,1,0.000051,0
4,4,1,2,1,0.000050,0
2,3,4,2,0,0.000050,0
1,3,3,2,0,0.000050,0
3,3,4,3,0,0.000047,1
0,1,1,2,0,0.000047,0
4,1,4,2,1,0.000047,0
4,2,6,3,1,0.000046,0
1,4,1,3,0,0.000046,0
1,3,0,3,1,0.000046,0
4,3,4,2,1,0.000046,0
3,2,2,3,1,0.000046,0
3,3,2,3,1,0.000046,0
4,0,5,0,0,0.000045,0
4,1,6,1,1,0.000045,0
4,3,6,3,1,0.000044,0
2,2,2,3,0,0.000043,0
5,2,5,1,1,0.000041,0
0,3,0,2,1,0.000041,0
4,4,3,2,1,0.000041,0
3,3,1,3,1,0.000041,0
3,4,1,3,1,0.000041,0
4,4,6,3,0,0.000040,0
1,1,0,0,1,0.000040,0
5,0,6,1,0,0.000040,1
3,2,2,4,0,0.000038,0
3,1,4,2,1,0.000038,0
5,3,4,1,1,0.000037,0
4,4,2,2,1,0.000037,0
1,4,2,2,0,0.000036,0
1,2,0,3,1,0.000036,0
0,3,2,3,0,0.000035,0
4,2,2,4,0,0.000034,0
6,0,6,1,0,0.000034,0
5,4,3,1,1,0.000033,0
1,3,4,2,0,0.000033,0
2,1,1,0,1,0.000033,0
5,4,2,1,1,0.000030,0
1,1,0,1,1,0.000027,0
5,4,1,1,1,0.000027,0
0,3,2,2,0,0.000027,0
2,1,2,2,1,0.000025,0
5,4,0,1,1,0.000024,0
2,1,4,1,1,0.000022,1
1,3,0,4,1,0.000022,0
1,1,1,2,0,0.000021,0
4,1,3,2,1,0.000021,0
4,2,3,2,1,0.000021,0
1,4,3,3,0,0.000020,0
2,1,1,3,0,0.000019,0
4,2,2,2,1,0.000019,0
4,3,2,2,1,0.000019,0
2,4,3,4,0,0.000018,0
0,1,0,0,0,0.000018,0
2,3,1,4,1,0.000018,0
3,1,1,4,0,0.000017,0
4,3,1,2,1,0.000017,0
3,1,3,2,1,0.000017,0
4,1,1,4,0,0.000015,0
6,0,5,1,0,0.000014,0
5,1,1,4,0,0.000014,0
3,1,5,1,1,0.000014,1
2,2,4,2,1,0.000013,1
6,1,1,4,0,0.000013,0
2,2,4,3,0,0.000012,0
5,0,4,1,0,0.000012,0
2,1,1,2,1,0.000011,0
2,2,1,2,1,0.000011,0
3,2,5,3,0,0.000011,0
1,2,3,3,0,0.000011,0
5,1,0,4,0,0.000011,0
1,0,0,0,1,0.000010,0
2,2,0,2,1,0.000010,0
2,3,0,2,1,0.000010,0
6,1,5,1,0,0.000010,0
0,3,0,4,0,0.000010,0
6,1,0,4,0,0.000010,0
1,1,2,2,0,0.000009,0
1,3,0,4,0,0.000009,0
3,2,5,2,1,0.000009,1
1,1,0,0,0,0.000008,0
1,1,0,1,0,0.000008,0
1,2,4,3,1,0.000008,0
2,3,0,4,0,0.000008,0
3,1,2,2,1,0.000008,0
3,2,2,2,1,0.000008,0
2,1,0,1,0,0.000007,0
2,1,0,2,0,0.000007,0
1,3,3,3,1,0.000007,1
3,3,0,4,0,0.000007,0
3,4,0,2,1,0.000007,0
3,2,1,2,1,0.000007,0
3,3,1,2,1,0.000007,0
3,1,0,2,0,0.000007,0
3,1,0,3,0,0.000007,0
6,0,6,1,1,0.000006,0
4,3,0,4,0,0.000006,0
3,3,0,2,1,0.000006,0
4,1,0,3,0,0.000006,0
4,1,0,4,0,0.000006,0
5,3,0,4,0,0.000006,0
1,4,0,4,1,0.000006,0
1,2,3,2,1,0.000005,1
6,3,0,4,0,0.000005,0
4,4,5,3,0,0.000005,1
1,4,0,3,1,0.000005,0
2,2,5,1,1,0.000005,0
4,4,5,4,0,0.000004,0
2,3,3,2,1,0.000004,0
2,1,2,2,0,0.000004,0
5,4,6,3,0,0.000004,1
6,4,1,1,1,0.000004,0
6,0,5,0,0,0.000004,0
3,1,2,3,0,0.000004,0
6,4,0,1,1,0.000003,0
6,4,6,3,0,0.000003,0
0,2,3,1,1,0.000003,0
1,3,2,2,0,0.000003,0
4,1,2,4,0,0.000003,0
0,1,2,1,1,0.000003,1
5,1,2,4,0,0.000003,0
6,0,5,1,1,0.000003,0
6,1,5,1,1,0.000003,0
6,1,2,4,0,0.000003,0
6,1,4,1,1,0.000003,0
6,2,4,1,1,0.000003,0
3,3,4,2,1,0.000003,0
2,3,4,3,1,0.000002,1
6,2,3,1,1,0.000002,0
6,3,3,1,1,0.000002,0
2,2,3,1,1,0.000002,0
0,2,2,2,1,0.000002,1
6,3,2,1,1,0.000002,0
6,4,2,1,1,0.000002,0
2,3,2,2,1,0.000002,0
2,4,1,2,1,0.000002,0
2,2,5,3,1,0.000002,0
2,4,0,2,1,0.000002,0
2,3,2,2,0,0.000001,0
6,4,5,3,0,0.000001,0
1,2,4,1,1,0.000001,0
5,4,4,3,0,0.000001,0
3,3,3,2,1,0.000001,0
1,1,3,1,1,0.000001,1
5,3,2,4,0,0.000001,0
3,4,2,2,1,0.000001,0
6,3,2,4,0,0.000001,0
3,4,1,2,1,0.000001,0
3,2,4,3,1,0.000001,0
3,2,4,1,1,0.000001,0
1,2,2,3,1,0.000001,0
3,3,5,3,1,0.000001,1
1,1,2,2,1,0.000001,0
3,3,2,2,0,0.000001,0
3,3,2,3,0,0.000001,0
