width,height,goal_width,gamma,states,reachable,mixed_states,mixed_fraction,mixed_fraction_reachable,iterations,lp_calls,runtime_s
6,5,2,0.9,1740,1740,104,0.05977,0.05977,77,7490,9.62
6,5,3,0.9,1740,1740,70,0.04023,0.04023,77,5210,7.27
6,6,1,0.9,2520,2520,0,0.0,0.0,14,0,0.53
6,6,2,0.9,2520,2520,128,0.050794,0.050794,80,9664,12.92
6,6,3,0.9,2520,2520,100,0.039683,0.039683,78,7416,10.4
6,6,4,0.9,2520,2520,88,0.034921,0.034921,96,8214,11.76
6,7,1,0.9,3444,3444,0,0.0,0.0,15,0,0.78
6,7,2,0.9,3444,3444,154,0.044715,0.044715,80,11522,15.65
6,7,3,0.9,3444,3444,130,0.037747,0.037747,78,9548,13.71
6,7,4,0.9,3444,3444,122,0.035424,0.035424,96,11110,15.92
6,7,5,0.9,3444,3444,104,0.030197,0.030197,101,10232,15.37
7,3,1,0.9,840,840,0,0.0,0.0,15,0,0.19
7,4,1,0.9,1512,1512,0,0.0,0.0,15,0,0.34
7,4,2,0.9,1512,1512,100,0.066138,0.066138,70,6452,8.21
7,5,1,0.9,2380,2380,0,0.0,0.0,16,0,0.57
7,5,2,0.9,2380,2380,124,0.052101,0.052101,76,8864,11.73
7,5,3,0.9,2380,2380,94,0.039496,0.039496,108,9672,13.46
7,6,1,0.9,3444,3444,0,0.0,0.0,16,0,0.82
7,6,2,0.9,3444,3444,168,0.04878,0.04878,78,12232,16.39
7,6,3,0.9,3444,3444,126,0.036585,0.036585,108,13172,18.55
7,6,4,0.9,3444,3444,104,0.030197,0.030197,113,11450,17.02
8,3,1,0.9,1104,1104,0,0.0,0.0,17,0,0.28
8,4,1,0.9,1984,1984,0,0.0,0.0,17,0,0.5
8,4,2,0.9,1984,1984,116,0.058468,0.058468,73,7764,9.99
8,5,1,0.9,3120,3120,0,0.0,0.0,18,0,0.83
8,5,2,0.9,3120,3120,156,0.05,0.05,73,10434,13.85
8,5,3,0.9,3120,3120,110,0.035256,0.035256,114,12110,17.06
9,3,1,0.9,1404,1404,0,0.0,0.0,19,0,0.39
9,4,1,0.9,2520,2520,0,0.0,0.0,19,0,0.71
9,4,2,0.9,2520,2520,124,0.049206,0.049206,74,8252,10.95
9,5,1,0.9,3960,3960,0,0.0,0.0,20,0,1.16
9,5,2,0.9,3960,3960,170,0.042929,0.042929,74,11440,16.01
9,5,3,0.9,3960,3960,132,0.033333,0.033333,119,15058,21.84
10,3,1,0.9,1740,1740,0,0.0,0.0,21,0,0.53
10,4,1,0.9,3120,3120,0,0.0,0.0,21,0,0.95
10,4,2,0.9,3120,3120,132,0.042308,0.042308,111,13988,19.14
11,3,1,0.9,2112,2112,0,0.0,0.0,23,0,0.71
11,4,1,0.9,3784,3784,0,0.0,0.0,23,0,1.26
11,4,2,0.9,3784,3784,140,0.036998,0.036998,118,15864,22.36
