seed,single_train_time_s,single_row_agree,single_duality_gap,batch_train_time_s,batch_row_agree,batch_duality_gap
0,39.8,0.3126,0.8051,289.9,0.1979,0.7867
1,53.5,0.4176,0.9321,369.7,0.1647,0.7902
2,43.3,0.1924,0.7869,313.4,0.2849,0.8805
3,41.7,0.5563,0.8981,316.7,0.3954,0.8423
4,40.5,0.1878,0.8945,316.0,0.458,0.8553
